Zip Code,Location,Population,Avg. Income/H/hold,City,Latitude,Longitude,NatRank
79424,"33.470600, -101.935241","27,093",54132.00,Lubbock,33.4706,1.935241,"4,373"
77489,"29.594956, -95.506419","32,690",54066.00,Missouri City,29.594956,95.506419,"4,399"
76035,"32.544454, -97.611838",414,54038.00,Cresson,32.544454,97.611838,"4,406"
75074,"33.033284, -96.672758","37,371",54000.00,Plano,33.033284,96.672758,"4,414"
76250,"33.629999, -97.222646",839,53929.00,Lindsay,33.629999,97.222646,"4,424"
77517,"29.368973, -95.137476","4,609",53877.00,Santa Fe,29.368973,95.137476,"4,434"
76249,"33.278823, -97.302309","4,732",53611.00,Krum,33.278823,97.302309,"4,509"
77354,"30.207270, -95.643632","16,182",53601.00,Magnolia,30.20727,95.643632,"4,514"
75114,"32.613698, -96.438078","4,163",53529.00,Crandall,32.613698,96.438078,"4,527"
75068,"33.190340, -96.945620","7,766",53401.00,Little Elm,33.19034,96.94562,"4,562"
78132,"29.758823, -98.190462","10,898",53377.00,New Braunfels,29.758823,98.190462,"4,570"
76259,"33.185579, -97.295975","2,824",53370.00,Ponder,33.185579,97.295975,"4,575"
77030,"29.704849, -95.404429","10,984",53199.00,Houston,29.704849,95.404429,"4,624"
77089,"29.588469, -95.218012","36,450",53123.00,Houston,29.588469,95.218012,"4,660"
77084,"29.826860, -95.650860","63,557",53075.00,Houston,29.82686,95.65086,"4,672"
77083,"29.693991, -95.647830","52,061",52931.00,Houston,29.693991,95.64783,"4,714"
75009,"33.338899, -96.752977","4,951",52821.00,Celina,33.338899,96.752977,"4,743"
78676,"30.039047, -98.159450","9,164",52809.00,Wimberley,30.039047,98.15945,"4,748"
75006,"32.957640, -96.897473","46,784",52798.00,Carrollton,32.95764,96.897473,"4,754"
77385,"30.188123, -95.416234","9,796",52790.00,Conroe,30.188123,95.416234,"4,757"
77968,"28.905104, -96.829072","2,196",52717.00,Inez,28.905104,96.829072,"4,779"
76028,"32.532666, -97.306547","38,776",52701.00,Burleson,32.532666,97.306547,"4,785"
77077,"29.749158, -95.620344","42,416",52667.00,Houston,29.749158,95.620344,"4,794"
76039,"32.856594, -97.081979","28,066",52466.00,Euless,32.856594,97.081979,"4,868"
76655,"31.392436, -97.174161","6,228",52373.00,Lorena,31.392436,97.174161,"4,905"
78004,"29.908438, -98.554626",676,52321.00,Bergheim,29.908438,98.554626,"4,929"
76012,"32.755129, -97.139242","25,488",52212.00,Arlington,32.755129,97.139242,"4,980"
78108,"29.570267, -98.217433","8,921",52207.00,Cibolo,29.570267,98.217433,"4,982"
75067,"33.014256, -97.003152","49,378",52123.00,Lewisville,33.014256,97.003152,"5,006"
77336,"30.081454, -95.102263","8,678",51989.00,Huffman,30.081454,95.102263,"5,061"
75249,"32.636077, -96.964622","9,186",51949.00,Dallas,32.636077,96.964622,"5,076"
78504,"26.254628, -98.257738","32,807",51923.00,Mcallen,26.254628,98.257738,"5,082"
78754,"30.349483, -97.640390","5,422",51810.00,Austin,30.349483,97.64039,"5,136"
78645,"30.457912, -97.970145","7,635",51767.00,Leander,30.457912,97.970145,"5,146"
77554,"29.323704, -94.920899","8,056",51722.00,Galveston,29.323704,94.920899,"5,164"
75230,"32.902679, -96.793393","27,631",51702.00,Dallas,32.902679,96.793393,"5,171"
75202,"32.778020, -96.803920","1,338",51688.00,Dallas,32.77802,96.80392,"5,175"
75040,"32.928902, -96.619782","55,558",51679.00,Garland,32.928902,96.619782,"5,178"
77447,"30.055282, -95.824783","8,242",51628.00,Hockley,30.055282,95.824783,"5,196"
78414,"27.659640, -97.371209","15,499",51610.00,Corpus Christi,27.65964,97.371209,"5,204"
76227,"33.275643, -96.988343","6,742",51542.00,Aubrey,33.275643,96.988343,"5,223"
78263,"29.364762, -98.304962","4,147",51496.00,San Antonio,29.364762,98.304962,"5,241"
77622,"29.872896, -94.290953","1,326",51300.00,Hamshire,29.872896,94.290953,"5,337"
76061,"32.502535, -97.174426",465,51250.00,Lillian,32.502535,97.174426,"5,372"
78070,"29.878058, -98.420197","7,283",51227.00,Spring Branch,29.878058,98.420197,"5,381"
78728,"30.453764, -97.686695","17,298",51078.00,Austin,30.453764,97.686695,"5,441"
75244,"32.927075, -96.834837","17,487",51074.00,Dallas,32.927075,96.834837,"5,444"
75636,"33.020763, -94.830752",132,51000.00,Cason,33.020763,94.830752,"5,468"
78045,"27.704250, -99.577524","29,517",50981.00,Laredo,27.70425,99.577524,"5,479"
77510,"29.356945, -95.087344","13,641",50940.00,Santa Fe,29.356945,95.087344,"5,491"
76247,"33.099992, -97.340298","5,503",50929.00,Justin,33.099992,97.340298,"5,502"
78413,"27.681421, -97.409250","34,572",50867.00,Corpus Christi,27.681421,97.40925,"5,524"
75158,"32.437722, -96.393627","3,861",50851.00,Scurry,32.437722,96.393627,"5,532"
76824,"31.035374, -98.530594",80,50667.00,Bend,31.035374,98.530594,"5,609"
75218,"32.841987, -96.702574","21,710",50652.00,Dallas,32.841987,96.702574,"5,615"
75043,"32.855346, -96.592044","53,343",50512.00,Garland,32.855346,96.592044,"5,694"
76841,"30.774543, -100.082537",31,50417.00,Fort Mc Kavett,30.774543,0.082537,"5,729"
77477,"29.625730, -95.565703","27,677",50413.00,Stafford,29.62573,95.565703,"5,733"
75234,"32.923008, -96.888663","28,870",50386.00,Dallas,32.923008,96.888663,"5,747"
76118,"32.800432, -97.216304","12,602",50372.00,Fort Worth,32.800432,97.216304,"5,756"
75978,"31.503127, -94.525343",137,50313.00,Woden,31.503127,94.525343,"5,788"
78653,"30.343926, -97.532994","4,715",50260.00,Manor,30.343926,97.532994,"5,820"
75173,"33.046983, -96.398746","3,848",50257.00,Nevada,33.046983,96.398746,"5,821"
79758,"31.994754, -102.348716","1,798",50256.00,Gardendale,31.994754,2.348716,"5,822"
77040,"29.876755, -95.532143","39,520",50183.00,Houston,29.876755,95.532143,"5,854"
79707,"32.053208, -102.200465","26,304",50166.00,Midland,32.053208,2.200465,"5,866"
76049,"32.478368, -97.704237","18,591",50154.00,Granbury,32.478368,97.704237,"5,871"
78109,"29.484084, -98.282646","23,831",50145.00,Converse,29.484084,98.282646,"5,872"
78642,"30.695071, -97.939100","6,061",50132.00,Liberty Hill,30.695071,97.9391,"5,880"
77663,"30.517899, -94.427007","1,192",49954.00,Village Mills,30.517899,94.427007,"5,959"
75214,"32.828651, -96.745951","35,557",49878.00,Dallas,32.828651,96.745951,"5,985"
77532,"29.932872, -95.057187","20,143",49805.00,Crosby,29.932872,95.057187,"6,014"
77870,"31.046813, -96.404770",207,49722.00,New Baden,31.046813,96.40477,"6,045"
75209,"32.848310, -96.825474","14,891",49669.00,Dallas,32.84831,96.825474,"6,065"
78256,"29.624988, -98.623327","3,644",49659.00,San Antonio,29.624988,98.623327,"6,066"
76109,"32.701638, -97.383011","24,007",49649.00,Fort Worth,32.701638,97.383011,"6,069"
77706,"30.101388, -94.178445","26,359",49642.00,Beaumont,30.101388,94.178445,"6,074"
75762,"32.215560, -95.406368","8,056",49615.00,Flint,32.21556,95.406368,"6,084"
79012,"35.253346, -102.107523",465,49438.00,Bushland,35.253346,2.107523,"6,146"
78230,"29.545289, -98.556564","35,573",49410.00,San Antonio,29.545289,98.556564,"6,158"
76633,"31.693947, -97.325271","3,579",49375.00,China Spring,31.693947,97.325271,"6,172"
75791,"32.219267, -95.222318","11,162",49284.00,Whitehouse,32.219267,95.222318,"6,208"
77433,"29.933096, -95.743628","3,642",49211.00,Cypress,29.933096,95.743628,"6,237"
77534,"29.212324, -95.302452","2,696",49167.00,Danbury,29.212324,95.302452,"6,251"
75409,"33.355461, -96.515553","4,757",49091.00,Anna,33.355461,96.515553,"6,277"
77304,"30.320085, -95.529227","15,690",48804.00,Conroe,30.320085,95.529227,"6,395"
76084,"32.426322, -97.090328","7,237",48793.00,Venus,32.426322,97.090328,"6,399"
79834,"29.182528, -103.262412",206,48750.00,Big Bend National Park,29.182528,3.262412,"6,409"
79378,"33.029719, -102.483327",223,48750.00,Wellman,33.029719,2.483327,"6,410"
75207,"32.787700, -96.820656","8,116",48750.00,Dallas,32.7877,96.820656,"6,411"
77058,"29.561579, -95.099626","15,206",48744.00,Houston,29.561579,95.099626,"6,436"
78101,"29.354152, -98.238445","6,203",48636.00,Adkins,29.354152,98.238445,"6,469"
79912,"31.856356, -106.536786","64,791",48627.00,El Paso,31.856356,6.536786,"6,471"
77430,"29.259878, -95.667662","2,302",48581.00,Damon,29.259878,95.667662,"6,495"
77632,"30.228269, -93.811275","21,694",48520.00,Orange,30.228269,93.811275,"6,513"
